Version,game_id,score,max_tile,steps,duration_sec
v1,41,47316,2048,2198,119.7494339942932
v1,132,108836,4096,4165,50.39219427108765
v1,133,137996,8192,4922,67.08540773391724
v1,134,83412,4096,3420,46.25005841255188
v1,135,46688,2048,2155,29.591856718063354
v1,136,29360,512,1538,19.711995601654053
v1,137,45976,1024,2209,29.845276832580566
v1,138,32768,1024,1550,20.590259552001957
v1,139,59852,2048,2582,36.89412832260132
v1,140,45112,2048,2082,28.95443224906921
v1,141,35360,1024,1710,23.334866285324097
v1,142,5936,256,390,5.598418951034546
v1,143,61992,2048,2579,36.41527724266052
v1,144,14704,512,802,10.865772247314451
v1,145,65036,4096,2615,37.00302338600159
v1,146,16380,512,875,12.010945320129396
v1,147,78144,4096,3107,43.93559551239014
v1,148,91088,4096,3624,73.00614166259766
v1,149,55904,2048,2358,1701.061006307602
v1,150,174144,8192,6374,993.0272426605223
v1,151,188644,8192,6883,92.6106903553009
v1,152,73616,2048,3176,41.814194679260254
v1,153,14664,512,835,10.329925060272217
v1,154,25996,1024,1255,15.122767448425291
v1,155,28064,2048,1301,16.359184980392456
v1,156,168020,4096,6432,84.54806113243103
v1,157,3284,128,253,3.290801525115967
v1,158,31648,1024,1538,22.679090976715088
v1,159,39804,1024,1889,26.77006840705872
v1,160,141708,8192,5093,69.08568024635315
v1,161,32412,1024,1603,19.261526584625244
v1,162,95940,4096,3785,66.27699661254883
v1,163,63532,4096,2561,66.17487382888794
v1,164,3800,128,295,8.499181270599365
v1,165,67828,2048,2765,69.11029434204102
v1,166,34164,2048,1500,37.01448893547058
v1,167,41608,1024,2008,49.80395412445069
v1,168,24756,512,1322,32.24623155593872
v1,169,5124,256,361,8.10317349433899
v1,170,89612,2048,3844,95.91896152496338
v1,171,67456,4096,2741,68.30170965194702
v1,172,17604,512,954,22.78398609161377
v1,173,49032,2048,2107,49.29643893241882
v1,174,9224,512,541,11.632965087890623
v1,175,74236,2048,3229,72.50386071205139
v1,176,34196,1024,1693,37.23118591308594
v1,177,4932,128,357,7.640772819519043
v1,178,4356,128,333,7.197326898574829
v1,179,8772,256,558,11.97420620918274
v1,180,85892,4096,3479,76.05968904495239
v1,181,50252,2048,2129,46.82735109329224
v1,182,17456,512,972,21.18916893005371
v1,183,17392,512,988,21.46899104118347
v1,184,186832,8192,6824,150.67251324653623
v1,185,23296,1024,1139,24.91577959060669
v1,186,1948,64,181,4.0935821533203125
v1,187,73028,2048,3059,67.20522785186768
v1,188,27436,1024,1332,29.28186345100403
v1,189,47540,2048,2040,47.815189838409424
v1,190,107264,4096,4117,89.5235435962677
v1,191,33052,2048,1503,34.09248971939087
v1,42,9820,256,608,3.793199777603149
v1,43,45096,2048,1874,20.87333583831787
v1,44,32396,2048,1481,17.305727243423462
v1,45,16080,512,854,10.10081171989441
v1,46,14292,512,818,9.692593574523926
v1,47,5312,256,362,4.442723274230957
v1,48,40408,1024,1840,21.86922860145569
v1,49,186172,8192,6819,82.32921624183655
v1,50,73112,4096,2882,34.688610792160034
v1,51,143948,8192,5328,63.83211636543274
v1,52,3796,128,290,3.293964385986328
v1,53,185436,8192,6781,75.65433502197266
v1,54,50532,2048,2281,25.23356914520264
v1,55,34176,1024,1593,16.890438079833984
v1,56,71592,2048,3078,33.96083354949951
v1,57,18224,1024,948,10.52564549446106
v1,58,83496,2048,3541,38.8202600479126
v1,59,114056,4096,4398,48.290555477142334
v1,60,32624,1024,1623,17.896485567092896
v1,61,40252,2048,1824,19.81998014450073
v1,62,107876,4096,4189,45.96743154525757
v1,63,138268,8192,5111,56.58858871459961
v1,64,24180,1024,1181,12.850817203521729
v1,65,83520,4096,3324,36.04110240936279
v1,66,21256,1024,1076,12.02704644203186
v1,67,38880,2048,1789,20.01506519317627
v1,68,50980,2048,2186,23.689284801483154
v1,69,95732,4096,3909,42.09124994277954
v1,70,83512,4096,3334,35.01263689994812
v1,71,67588,2048,2738,29.03019094467163
v1,72,40712,2048,1848,28.122584104537964
v1,73,80720,4096,3233,68.33207559585571
v1,74,110028,4096,4215,105.6458511352539
v1,75,225764,8192,7680,183.8778872489929
v1,76,74872,4096,3030,71.26837658882141
v1,77,38756,1024,1851,40.975603103637695
v1,78,44676,2048,1969,43.37902688980103
v1,79,10108,256,637,13.827012777328491
v1,80,55792,2048,2389,49.6681215763092
v1,81,45852,2048,1927,40.47924780845642
v1,82,13864,512,764,16.130942583084106
v1,83,77588,4096,3085,67.17214632034302
v1,84,172060,8192,6297,135.7878019809723
v1,85,6820,256,420,9.00510048866272
v1,86,22020,512,1173,25.14629030227661
v1,87,17028,512,927,20.126670837402344
v1,88,62424,2048,2690,58.93696522712708
v1,89,72420,2048,3145,68.6442391872406
v1,90,88488,4096,3541,75.07177829742432
v1,91,37592,2048,1719,38.50603079795837
v1,92,79144,4096,3125,71.57704949378967
v1,93,34464,2048,1526,33.219282388687134
v1,94,52548,2048,2270,49.74277853965759
v1,95,140768,8192,5125,112.46852898597716
v1,96,24056,1024,1164,25.93767285346985
v1,97,16620,512,901,19.562024116516117
v1,98,14764,512,824,18.16524910926819
v1,99,59816,2048,2525,56.19749712944031
v1,100,39092,1024,1891,40.4006621837616
v1,101,16356,512,890,19.01436710357666
v2,102,12676,512,663,125.70225930213928
v2,103,13628,512,768,152.74529600143433
v2,104,18892,1024,967,190.87355136871335
v2,105,27652,1024,1341,276.0119199752808
v2,106,8400,256,519,91.04560136795044
v2,107,28584,1024,1368,239.1566388607025
v2,108,18328,512,964,184.30895280838013
v2,109,33200,1024,1576,310.0117259025574
v2,110,17012,512,925,182.38686227798465
v2,111,5308,128,395,68.99942326545715
v2,112,14036,512,758,159.67406105995178
v2,113,16524,512,909,190.8467071056366
v2,114,4512,128,336,68.38303065299988
v2,115,15288,512,840,167.66628694534302
v2,116,9592,256,588,115.04882502555849
v2,117,3376,128,265,54.1721715927124
v2,118,27864,1024,1371,262.07942819595337
v2,119,15764,512,850,160.80145049095154
v2,120,13316,512,711,144.2524721622467
v2,121,8092,256,524,100.3689329624176
v2,122,25160,1024,1245,254.27646899223328
v2,123,14292,512,804,147.91506433486938
v2,124,14404,512,770,155.6330647468567
v2,125,10272,256,629,117.99708437919617
v2,126,16996,512,948,180.91007471084595
v2,127,30772,1024,1429,285.8872764110565
v2,128,27300,1024,1302,268.32978892326355
v2,129,16588,512,890,172.47589540481567
v2,130,5944,256,396,67.72998380661011
v2,131,30896,2048,1373,294.4914937019348
v2,12,11880,512,653,76.9520411491394
v2,13,24852,1024,1184,166.08799839019775
v2,14,9152,256,564,73.40151882171631
v2,15,29708,2048,1351,220.50907564163208
v2,16,33504,1024,1569,313.73316717147827
v2,17,19512,512,1017,164.16785669326782
v2,18,12268,512,674,141.23374676704407
v2,19,8012,256,510,105.09533214569092
v2,20,19760,1024,1021,190.4876847267151
v2,21,36108,1024,1697,312.25788855552673
v2,22,17492,512,926,184.80847239494324
v2,23,16408,512,900,177.89933943748474
v2,24,16248,512,880,161.95115065574646
v2,25,5232,128,375,68.13566303253174
v2,26,8300,256,530,98.96883821487428
v2,27,8488,256,544,104.40182971954346
v2,28,16252,512,874,180.82685923576355
v2,29,16504,512,895,178.3427801132202
v2,30,25056,1024,1236,251.72913694381717
v2,31,4420,128,326,62.82378149032593
v2,32,13012,512,727,134.6355516910553
v2,33,15752,512,843,156.64451956748962
v2,34,23868,1024,1171,233.156396150589
